sie;sig
ESTIVA         ;LAGUNASC
ESTIVA 2       ;CAPIVARI DE BAIXOSC
ESTREITO 1 DV  ;IBICARÉSC
ESTREITO 2     ;LAGUNASC
F DA SERRA SUL ;SC
FAMOSO         ;DESCANSOSC
FAROL STA MARTA;LAGUNASC
FARROUPILHA    ;PONTE SERRADASC
FARROUPILHA 2  ;LAURO MULLERSC
FAXINAL        ;MAFRASC
FAXINAL 1      ;FRAIBURGOSC
FAXINAL 2      ;MAFRASC
FAXINAL GUEDES ;FAXINAL DOS GUEDESSC
FAXINAL IRANI  ;IRANISC
FAXINAL ROSAS  ;CHAPECÓSC
FAXINAL S PEDRO;LEBON RÉGISSC
FAZ AMPARO     ;ÁGUA DOCESC
FAZ ARMACAO    ;GOVERNADOR CELSO RAMOSSC
FAZ AURORA     ;CANELINHASC
FAZ DOS MORAES ;LAGESSC
FAZ MITRA      ;ITAJAÍSC
FAZ ROSEIRA    ;ÁGUA DOCESC
FAZ S ANTONIO 1;PONTE SERRADASC
FAZ S ANTONIO 2;SÃO JOSÉSC
FAZ S PAULO    ;IMARUÍSC
FAZ SUL        ;IMARUÍSC
FAZ ZANDAVALLI ;CHAPECÓSC
FAZ. BATATAIS  ;TRÊS BARRASSC
FAZ. ZANDAVALLI;CHAPECÓSC
FAZENDA 1      ;JACINTO MACHADOSC
FAZENDA 2      ;ÁGUAS MORNASSC
FAZENDA FONTANA;CURITIBANOSSC
FCO BELTRAO PR ;SC
FELIZ          ;GUATAMBÚSC
FERN MACHADO   ;CHAPECÓSC
FERNANDES      ;SÃO JOÃO BATISTASC
FIGUEIRA       ;LAGUNASC
FIORITA        ;SIDERÓPOLISSC
FISCHER        ;FRAIBURGOSC
FLOR DA SERRA  ;PALMA SOLASC
FLOR DE NAPOLIS;SÃO JOSÉSC
FLOR DO SERTAO ;FLOR DO SERTÃOSC
FLORESTA       ;SÃO JOSÉSC
FLORIANOPOLIS  ;FLORIANÓPOLISSC
FORCACAO       ;BENEDITO NOVOSC
FORMOSA DO SUL ;FORMOSA DO SULSC
FORQUILHAS     ;SÃO JOSÉSC
FORQUILHINHA   ;FORQUILHINHASC
FORQUILHINHA 2 ;SIDERÓPOLISSC
FORQUILHINHA 3 ;SÃO JOSÉSC
FORTALEZA      ;BLUMENAUSC
FOZ DO IGUACU  ;SC
FRAGOSOS 1     ;CONCÓRDIASC
FRAGOSOS 2     ;CAMPO ALEGRESC
FRAIBURGO      ;FRAIBURGOSC
FRANCIOSE      ;ARROIO TRINTASC
FREDERICO WESTP;SC
FREI ROGERIO   ;FREI ROGÉRIOSC
FUNDO DO CAMPO ;OTACÍLIO COSTASC
FUNDOS AURORA  ;AURORASC
GABIROBA 1     ;ITUPORANGASC
GABIROBA 2     ;SÃO MARTINHOSC
GALERA         ;CANELINHASC
GALVAO         ;GALVÃOSC
GAMBOA         ;PAULO LOPESSC
GAROPABA       ;GAROPABASC
GAROPABA DO SUL;JAGUARUNASC
GARUVA         ;GARUVASC
GARUVA 2       ;SOMBRIOSC
GASPAR         ;GASPARSC
GASPAR ALTO    ;GASPARSC
GASPAR(BATEIAS);GASPARSC
GNADENTAL      ;WITMARSUMSC
GODOFREDO      ;ARAQUARISC
GOIABEIRA      ;SÃO JOSÉ DO CERRITOSC
GOV C RAMOS(GF);GOVERNADOR CELSO RAMOSSC
GOV CELSO RAMOS;GOVERNADOR CELSO RAMOSSC
GRAMADINHO     ;SÃO MIGUEL DO OESTESC
GRAMADO 1      ;LAGESSC
GRAMADO 2      ;PAPANDUVASC
GRAMADO 3      ;RIO DO CAMPOSC
GRAMADO 4      ;ÁGUAS DE CHAPECÓSC
GRAMADO 5      ;VIDEIRASC
GRAMADO IZIDROS;TANGARÁSC
GRAMADO LEITE  ;IBICARÉSC
GRAMADO SANTOS ;TANGARÁSC
GRAO PARA      ;GRÃO PARÁSC
